"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "BodyLength_mm" "BodyLength_male" "BodyLength_female" "BodyLength_min" "BodyLength_max" "Litter_size" "Development_total_d" "Development_egg_mean_d" "Development_larva_mean_d" "Development_pupa_mean_d" "Longevity_y" "Semivoltine" "Univoltine" "Bivoltine" "Multivoltine" "Overwintering_egg" "Overwintering_larva" "Overwintering_pupa" "Overwintering_imago" "Activity" "Larva_Diet" "Imago_Diet" "Larva_Diet_range" "Imago_Diet_range" "Diet_Carniv" "Diet_Scav" "Diet_Fungi" "Diet_Root" "Diet_Seed" "Diet_Leaf" "Diet_Flower" "Diet_Stem" "Diet_Grass" "Diet_Woody" "EIV_Light" "EIV_Temp" "EIV_Moisture" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "Dispersal_ability" "Dispersal_km" "Riparian_sp" "Habitat_ephemeral" "Habitat_lakes" "Habitat_ponds" "Habitat_rivers" "Habitat_streams" "Forewing_length_mm" "Hindwing_length_mm" "Sex_dimporh" "Territoriality" "Flight_mode_flier" "Flight_mode_percher" "BodyCol_black" "BodyCol_blue" "BodyCol_brown" "BodyCol_gray" "BodyCol_green" "BodyCol_orange" "BodyCol_pink" "BodyCol_red" "BodyCol_violet" "BodyCol_white" "BodyCol_yellow" "BodyColType_pigment" "BodyColType_pruinesc" "BodyColType_structur" "BodyPatterns_plain" "BodyPatterns_spotted" "BodyPatterns_striped" "Wing_Pigment" "WP_pattern" "WP_symmetry" "WP_dimorph" "WPColor_cover" "WPCol_amber" "WPCol_black" "WPCol_blue" "WPCol_brown" "WPCol_iredesc" "WPCol_orange" "WPCol_prunesc" "WPCol_red" "WPCol_yellow" "Larva_BodyLength_mm" "Larva_BodyLength_min" "Larva_BodyLength_max" "Larva_Habitat_stillwaters" "Larva_Habitat_watercourses" "Larva_Habitat_moors" "Larva_EIV_Drought" "Larva_Biotope_range" "MISSING_ALL_TRAITS"
"Lestes virens subsp. vestalis" "Lestes virens vestalis (Rambur, 1841)" "SUBSPECIES" "synonym" "Lestes virens (Charpentier, 1825)" "Lestes" "Lestidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "CR" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 34.5 NA NA 30 39 NA 75 NA NA NA NA 0 1 0 0 1 0 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 0 1 0 0 0 0.422680412371134 NA 2 1 0 0 0 0 NA 21 "weak" NA 0 1 0 1 0 0 1 0 0 0 0 0 0 1 1 1 1 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 26 23 29 1 0 1 0 "oligotop" "NO"
"Lestes viridis" "Lestes viridis (Vander Linden, 1825)" "SPECIES" "synonym" "Chalcolestes viridis (Vander Linden, 1825)" "Chalcolestes" "Lestidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3964317.67522152 43.5 NA NA 39 48 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 1 1 0 0 0 NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 25.5 23 28 1 1 1 0 "eurytop" "NO"
"Leucorrhinia albifrons" "Leucorrhinia albifrons (Burmeister, 1839)" "SPECIES" "accepted" "Leucorrhinia albifrons (Burmeister, 1839)" "Leucorrhinia" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "CR" "LC" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1248728.70621065 36 NA NA 33 39 453.5 720 NA NA NA 0.115068493150685 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.75 NA 0 1 0 0 0 0.412371134020619 NA 1 0 1 0 0 0 NA 25.5 "strong" "territorial" 0 1 0 1 0 0 0 0 0 0 0 1 0 1 1 0 1 0 1 "yes" NA "hindwing" "strongly" 0.01 0 1 0 0 0 0 0 0 0 18.5 15 22 1 0 1 0 "stenotop" "NO"
"Leucorrhinia caudalis" "Leucorrhinia caudalis (Charpentier, 1840)" "SPECIES" "accepted" "Leucorrhinia caudalis (Charpentier, 1840)" "Leucorrhinia" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "EN" "LC" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1385819.48743823 35 NA NA 33 37 NA 720 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 0 0 0 NA NA 3 1 1 0 0 0 NA 30.5 "strong" NA 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 1 "yes" NA "hindwing" "strongly" 0.03 0 1 0 0 0 0 0 0 0 19.5 19 20 1 0 1 0 "stenotop" "NO"
"Leucorrhinia dubia" "Leucorrhinia dubia (Vander Linden, 1825)" "SPECIES" "accepted" "Leucorrhinia dubia (Vander Linden, 1825)" "Leucorrhinia" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "NT" "LC" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 3007912.50371181 33.5 NA NA 31 36 NA 1080 NA NA NA 0.16986301369863 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.0833333333333333 NA 0 1 1 1 1 0.429553264604811 NA 0 0 1 1 0 0 NA 26.5 "strong" "territorial" 0 1 1 0 0 0 0 0 0 1 0 0 0 1 1 0 1 1 0 "yes" NA "hindwing" "not" 0.03 0 1 0 0 0 0 0 0 0 19.5 19 20 1 0 1 0 "stenotop" "NO"
"Leucorrhinia pectoralis" "Leucorrhinia pectoralis (Charpentier, 1825)" "SPECIES" "accepted" "Leucorrhinia pectoralis (Charpentier, 1825)" "Leucorrhinia" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "EN" "LC" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 35.5 NA NA 32 39 NA 720 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 1 0 0 0.501718213058419 NA 0 0 1 0 0 0 NA 31.5 "strong" "territorial" 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 1 1 "yes" NA "hindwing" "not" 0.02 0 1 0 0 0 0 0 0 0 22 21 23 0 0 1 0 "stenotop" "NO"
"Leucorrhinia rubicunda" "Leucorrhinia rubicunda (Linnaeus, 1758)" "SPECIES" "accepted" "Leucorrhinia rubicunda (Linnaeus, 1758)" "Leucorrhinia" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "InfoSpecies" "INM" "No" NA "LC" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2328935.98029913 34.5 NA NA 31 38 NA 720 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.75 NA 0 1 0 0 0 0.563573883161512 NA 0 0 1 1 0 0 NA 29 "strong" "territorial" 0 1 1 0 0 0 0 0 0 1 0 0 0 1 1 0 1 1 0 "yes" NA "hindwing" "not" 0.01 0 0 0 1 0 0 0 0 0 21 20 22 0 0 1 0 "stenotop" "NO"
"Libella pennipes" "Libella pennipes Pallas, 1771" "SPECIES" "homotypic synonym" "Platycnemis pennipes (Pallas, 1771)" "Platycnemis" "Platycnemididae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "VULNERABLE" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4462734.49268562 36 NA NA 35 37 NA 6900 NA NA NA NA 0 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 0 1 1 0 0 0.474226804123711 NA 2 0 1 0 0 1 NA 21 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 21 18 24 1 1 0 0 "oligotop" "NO"
"Libellula aenea" "Libellula aenea Linnaeus, 1758" "SPECIES" NA "unresolved_accepted_11951" "Libellula" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA NA NA NA NA 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Libellula albifrons" "Libellula albifrons Burmeister, 1839" "SPECIES" NA "unresolved_accepted_11952" "Libellula" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA NA NA NA NA 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Libellula albistylum" "Libellula albistylum Selys, 1848" "SPECIES" "homotypic synonym" "Orthetrum albistylum (Selys, 1848)" "Orthetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "NT" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 2547817.50309023 47.5 NA NA 45 50 NA 360 NA NA NA NA 0 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.541666666666667 NA 0 1 0 0 0 0.77319587628866 NA 1 0 1 1 0 0 NA 35.5 "strong" "territorial" 0 1 1 1 0 0 0 0 0 0 0 1 0 1 1 0 1 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 23 21 25 1 0 0 0 "oligotop" "NO"
"Libellula annulata" "Libellula annulata Palisot de Beauvois, 1807" "SPECIES" NA "unresolved_accepted_11953" "Libellula" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA NA NA NA NA 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Libellula arteriosa" "Libellula arteriosa Burmeister, 1839" "SPECIES" "homotypic synonym" "Trithemis arteriosa (Burmeister, 1839)" "Trithemis" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" NA NA "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 30999103.9367423 34.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 1 1 1 NA 27 "strong" "territorial" 0 1 1 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 1 "Yes" NA "hindwing" "not" 0.1 0 0 0 1 0 0 0 1 0 NA NA NA NA NA NA NA NA "NO"
"Libellula bimaculata" "Libellula bimaculata Charpentier, 1825" "SPECIES" NA "unresolved_accepted_11954" "Libellula" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA NA NA NA NA 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Libellula boltonii" "Libellula boltonii Donovan, 1807" "SPECIES" "homotypic synonym" "Cordulegaster boltonii (Donovan, 1807)" "Cordulegaster" "Cordulegastridae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 387.111487563669 77 NA NA 74 80 NA 1620 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 1 0 0 0.515463917525773 NA 2 0 0 0 1 1 NA 44 "weak" NA 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 41 35 47 0 1 1 0 "stenotop" "NO"
"Libellula brunneum" "Libellula brunneum Fonscolombe, 1837" "SPECIES" "homotypic synonym" "Orthetrum brunneum (Fonscolombe, 1837)" "Orthetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 4545746.75315101 45 NA NA 41 49 NA 720 NA NA NA NA 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 0 1 1 0 0 0.77319587628866 NA 2 0 0 0 0 1 NA 35 "strong" "territorial" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 20.5 18 23 1 1 0 0 "stenotop" "NO"
"Libellula caerulea" "Libellula caerulea Ström, 1783" "SPECIES" "homotypic synonym" "Aeshna caerulea (Ström, 1783)" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "VU" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1392547.58172014 59 NA NA 54 64 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 1 1 1 NA NA 1 0 0 0 0 0 NA 39 "strong" "territorial" 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 38 36 40 1 0 1 NA "oligotop" "NO"
"Libellula cancellatum" "Libellula cancellatum Linnaeus, 1758" "SPECIES" "homotypic synonym" "Orthetrum cancellatum (Linnaeus, 1758)" "Orthetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "VULNERABLE" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4909414.58759903 47 NA NA 44 50 NA 720 NA NA NA 0.164383561643836 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.666666666666667 NA 1 1 1 0 0 0.793814432989691 NA 2 0 1 1 1 0 NA 38 "strong" "territorial" 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 0 1 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 24 19 29 1 0 0 0 "eurytop" "NO"
"Libellula caudalis" "Libellula caudalis Charpentier, 1840" "SPECIES" "homotypic synonym" "Leucorrhinia caudalis (Charpentier, 1840)" "Leucorrhinia" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "EN" "LC" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1385819.48743823 35 NA NA 33 37 NA 720 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 0 0 0 NA NA 3 1 1 0 0 0 NA 30.5 "strong" NA 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 1 "Yes" NA "hindwing" "strongly" 0.03 0 1 0 0 0 0 0 0 0 19.5 19 20 1 0 1 0 "stenotop" "NO"
"Libellula cecilia" "Libellula cecilia Fourcroy, 1785" "SPECIES" NA "unresolved_accepted_11955" "Libellula" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA NA NA NA NA 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Libellula chrysostigma" "Libellula chrysostigma Burmeister, 1839" "SPECIES" "homotypic synonym" "Orthetrum chrysostigma (Burmeister, 1839)" "Orthetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 29140890.7954741 42.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0 1 NA 31 "strong" "territorial" 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 0 1 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Libellula coerulescens" "Libellula coerulescens Fabricius, 1798" "SPECIES" "homotypic synonym" "Orthetrum coerulescens (Fabricius, 1798)" "Orthetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 4747762.92229012 40.5 NA NA 36 45 NA 720 NA NA NA 0.0821917808219178 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.791666666666667 NA 1 1 1 0 0 0.59106529209622 NA 1 0 0 0 0 1 NA 30.5 "strong" "territorial" 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 18 16 20 0 1 1 0 "oligotop" "NO"
"Libellula cyanea" "Libellula cyanea Fabricius, 1775" "SPECIES" "accepted" "Libellula cyanea Fabricius, 1775" "Libellula" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA NA NA NA "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 43.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 1 0 0 NA 34 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 "yes" NA NA "weakly" NA 0 1 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA "NO"
"Libellula danae" "Libellula danae Sulzer, 1776" "SPECIES" "homotypic synonym" "Sympetrum danae (Sulzer, 1776)" "Sympetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 31.5 NA NA 29 34 NA 360 NA NA NA NA 0 1 0 0 1 0 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.541666666666667 NA 0 1 1 0 0 0.525773195876289 NA 2 0 1 1 1 1 NA 25 "strong" "non-territorial" 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 "Yes" NA "symmetric" "weakly" NA 0 0 0 1 0 1 0 0 0 14.5 13 16 1 0 1 1 "oligotop" "NO"
"Libellula depressa" "Libellula depressa Linnaeus, 1758" "SPECIES" "accepted" "Libellula depressa Linnaeus, 1758" "Libellula" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 43.5 NA NA 39 48 NA 105 NA NA NA NA 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 0 1 1 0 0 0.848797250859107 NA 3 0 1 1 0 0 NA 35 "strong" "territorial" 1 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 1 1 0 "yes" NA "hindwing" "not" 0.14 0 0 0 1 0 0 0 0 0 23.5 22 25 1 0 1 2 "oligotop" "NO"
"Libellula depressiusculum" "Libellula depressiusculum Selys, 1841" "SPECIES" "homotypic synonym" "Sympetrum depressiusculum (Selys, 1841)" "Sympetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "VU" "VU" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1947243.63385753 31.5 NA NA 29 34 NA 630 NA NA NA NA 0 1 0 0 1 0 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 0 0 0 0.450171821305842 NA 3 1 1 0 0 0 NA 26 "weak" "non-territorial" 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 1 0 "Yes" NA "hindwing" "not" 0.04 0 0 0 0 0 0 0 1 0 15 13 17 1 0 1 0 "oligotop" "NO"
"Libellula dubia" "Libellula dubia Vander Linden, 1825" "SPECIES" NA "unresolved_accepted_11956" "Libellula" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA NA NA NA NA 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Libellula erythraea" "Libellula erythraea Fonsc., 1832" "SPECIES" "accepted" "Libellula erythraea Fonsc., 1832" "Libellula" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA NA NA NA NA 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Libellula festiva" "Libellula festiva Rambur, 1842" "SPECIES" "homotypic synonym" "Trithemis festiva (Rambur, 1842)" "Trithemis" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 353059.778117334 34 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 1 1 1 NA 27.5 "strong" NA 0 1 1 1 0 0 0 0 1 0 0 0 1 1 1 1 1 1 0 "Yes" NA "hindwing" "not" 0.03 0 0 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA "NO"
